year,category,recipient,city,state,province,country,grant_description,award_amt
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Brown University,Providence,Rhode Island,,,To support a program of ecological research and training,250000
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Carnegie Institution of Washington,Washington,DC,,,To support a program of ecological research and training,1200000
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Cornell University,Ithaca,New York,,,To support a program of ecological research and training,275000
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Cornell University,Ithaca,New York,,,To support a program of ecological research and training,150000
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Duke University,Durham,North Carolina,,,To support a program of ecological research and training,390000
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,"Ecological Society of America, Inc.",Washington,DC,,,To support the creation of an electronic version of the Society's three journals,23000
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Harvard University,Cambridge,Massachusetts,,,To support a program of ecological research and training,43000
2000,CONSERVATION AND THE ENVIRONMENT,International University Exchange Inc.,Washington,DC,,,To support a program of ecological research and training,322000
2000,CONSERVATION AND THE ENVIRONMENT,Marine Biological Laboratory,Woods Hole,Massachusetts,,,To support a program of ecological research and training,1000000
2000,CONSERVATION AND THE ENVIRONMENT,Marine Biological Laboratory,Woods Hole,Massachusetts,,,To support a program of ecological research and training,265000
2000,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,St. Louis,Missouri,,,To support a program of ecological research and training,900000
2000,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,St. Louis,Missouri,,,To support a pilot program to digitize rare botanical reference works and make images available using the Internet,200000
2000,CONSERVATION AND THE ENVIRONMENT,National Park Foundation,Washington,DC,,,To support a program of ecological research and training,1400000
2000,CONSERVATION AND THE ENVIRONMENT,New York Botanical Garden,Bronx,New York,,,To support a program of ecological research and training,600000
2000,CONSERVATION AND THE ENVIRONMENT,New York Botanical Garden,Bronx,New York,,,To support a pilot program to digitize rare botanical reference works and make images available using the Internet,195000
2000,CONSERVATION AND THE ENVIRONMENT,Oregon State University,Corvallis,Oregon,,,To support a program of ecological research and training,220000
2000,CONSERVATION AND THE ENVIRONMENT,"Organization for Tropical Studies, Inc.",Durham,North Carolina,,,For use as endowment,2500000
2000,CONSERVATION AND THE ENVIRONMENT,"Organization for Tropical Studies, Inc.",Durham,North Carolina,,,To support a program of ecological research and training,395000
2000,CONSERVATION AND THE ENVIRONMENT,Pennsylvania State University,University Park,Pennsylvania,,,To support a program of ecological research and training,50000
2000,CONSERVATION AND THE ENVIRONMENT,Pontificia Universidad Catolica de Chile,Santiago,,,Chile,To support a program of ecological research and training,280000
2000,CONSERVATION AND THE ENVIRONMENT,Resources for the Future,Washington,DC,,,To support studies of the effects of environmental regulations,250000
2000,CONSERVATION AND THE ENVIRONMENT,Rice University,Houston,Texas,,,To support a program of ecological research and training,164000
2000,CONSERVATION AND THE ENVIRONMENT,Scientific Committee on Problems,Paris,,,France,To support a program of ecological research and training,200000
2000,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,Washington,DC,,,To support a program of ecological research and training,250000
2000,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,Washington,DC,,,To support a program of ecological research and training,120000
2000,CONSERVATION AND THE ENVIRONMENT,South African National Parks,Skukuza,,,South Africa,To support a program of ecological research and training,200000
2000,CONSERVATION AND THE ENVIRONMENT,South African National Parks,Skukuza,,,South Africa,To support a program of ecological research and training,25000
2000,CONSERVATION AND THE ENVIRONMENT,Stanford University,Stanford,California,,,To support a program of ecological research and training,800000
2000,CONSERVATION AND THE ENVIRONMENT,Stanford University,Stanford,California,,,To support a program of ecological research and training,300000
