year,category,recipient,location,grant_description,award_amt
2011,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,Agnes Scott College,"Decatur, Georgia",To support a program to embed undergraduate research into the humanities across the curriculum,"200,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,American Academy in Rome,"New York, New York",To support the Conversations That Matter pilot program,"62,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,American Council of Learned Societies,"New York, New York",To support an endowment reserved for core operating expenses,"6,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,American Council of Learned Societies,"New York, New York",To support postdoctoral fellowships for recent PhD recipients in the humanities,"3,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,American Council of Learned Societies,"New York, New York",To continue support for a program allowing nonacademic organizations to appoint PhDs in the humanities to postdoctoral positions,"3,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,American Indian College Fund,"Denver, Colorado",To support planning for a master's degree completion fellowship program at tribal colleges and universities,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,American Indian College Fund,"Denver, Colorado",To support publication of a two-volume series of manuscripts written by Mellon fellows at tribal colleges,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,American University - Central Asia,"Bishkek, Kyrgyz Republic",To support postdoctoral fellowships,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,American University - Central Asia,"Bishkek, Kyrgyz Republic",To support presidential initiatives,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,American University in Cairo,"New York, New York",To support postdoctoral teaching fellowships in the core curriculum,"700,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,American University in Cairo,"New York, New York",To support financial aid and student retention initiatives necessitated by recent political and economic transitions in Egypt,"500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,American University in Cairo,"New York, New York","To plan, collect, and document the events of the Tahrir Square protest movement","50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,"American University of Paris, Inc.","Paris, France",To support academic planning,"40,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Amherst College,"Amherst, Massachusetts",To support renewal of an Emeritus Fellowship,"8,800"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,"Berea, Kentucky",To support a partnership for undergraduate research with the University of North Carolina at Asheville,"570,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,"Berea, Kentucky",To support the participation of two additional colleges in the Bowen Central Library of Appalachia shared catalog,"68,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,"ASIANetwork, Inc.","Bloomington, Illinois","To support a series of faculty study and travel seminars in India, South Korea, and Vietnam","200,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,"Associated Colleges of the South, Inc.","Atlanta, Georgia",To support faculty career enhancement,"800,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,"New York, New York","To support the creation of an empirical reasoning laboratory, the development of course modules, and the integration of inquiry-based materials throughout the curriculum","700,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Barnard College,"New York, New York",To support the Mellon Mays Undergraduate Fellowship program,"247,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,"Brunswick, Maine",To support a New Directions Fellowship,"241,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Brandeis University,"Waltham, Massachusetts",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Brooklyn College,"Brooklyn, New York",To support the Mellon Mays Undergraduate Fellowship program,"247,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,"Providence, Rhode Island",To support a pilot program that will enable graduate students to acquire training in a second field germane to their intellectual interests and their doctoral research,"2,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,"Providence, Rhode Island",To renew support for undergraduate student summer research in the humanities and social sciences,"500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,"Providence, Rhode Island","The Emotional Ecology of Animals and Humans""","175,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,"Providence, Rhode Island",To support an Emeritus Fellowship,"50,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Brown University,"Providence, Rhode Island",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Bryn Mawr College,"Bryn Mawr, Pennsylvania","To support an integrated, multidisciplinary program for curricular renewal","1,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Bryn Mawr College,"Bryn Mawr, Pennsylvania",To support the Mellon Mays Undergraduate Fellowship program,"247,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Bryn Mawr College,"Bryn Mawr, Pennsylvania",To support an Emeritus Fellowship,"55,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Bucknell University,"Lewisburg, Pennsylvania",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,California Institute of Technology,"Pasadena, California",To support postdoctoral fellowships in the humanities and humanistic social sciences,"750,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Carleton College,"Northfield, Minnesota",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Carleton College,"Northfield, Minnesota",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Carnegie Mellon University,"Pittsburgh, Pennsylvania",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Centre College,"Danville, Kentucky",To support an East Asian studies program,"250,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Claremont McKenna College,"Claremont, California",To support programs in Portuguese language and Latin American history and culture,"600,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Clark University,"Worcester, Massachusetts",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Colgate University,"Hamilton, New York",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,College of the Holy Cross,"Worcester, Massachusetts",To support expansion of the undergraduate research program in the humanities,"625,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,College of William and Mary,"Williamsburg, Virginia",To support a program for undergraduate research in global studies,"866,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Colorado College,"Colorado Springs, Colorado","To support programs in Mediterranean, Asian, and Latin American languages and cultures","509,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,"New York, New York",To support collectively developed projects in disciplinary innovation and cross-institutional collaboration by a consortium of university humanities centers,"400,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,"New York, New York",To support historical scholarship on the League of Nations,"30,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Community MusicWorks,"Providence, Rhode Island",To support strategic collaborations and programs that will extend the educational model of Community MusicWorks in the fields of classical music and arts education,"257,750"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Connecticut College,"New London, Connecticut",To support undergraduate research in the arts and humanities,"400,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,The Constitutional Court Trust,"Braamfontein, South Africa",To support the Southern African Legal Information Institute,"600,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Convergence,"Washington, DC",To support a second year of a postdoctoral fellowship to bolster the U.S.-Muslim Engagement Initiative,"95,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,"Ithaca, New York",To support a New Directions Fellowship,"269,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,"Ithaca, New York",To support a New Directions Fellowship,"260,000"
