year,category,recipient,location,grant_description,award_amt
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Brown University,Providence,Rhode Island,,,To support a program of ecological research and training,"250,000"
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Carnegie Institution of Washington,Washington,DC,,,To support a program of ecological research and training,"1,200,000"
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Cornell University,Ithaca,New York,,,To support a program of ecological research and training,"275,000"
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Cornell University,Ithaca,New York,,,To support a program of ecological research and training,"150,000"
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Duke University,Durham,North Carolina,,,To support a program of ecological research and training,"390,000"
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,"Ecological Society of America, Inc.",Washington,DC,,,To support the creation of an electronic version of the Society's three journals,"23,000"
2000,CONSERVATION AND THE ENVIRONMENT                                                                            ,Harvard University,Cambridge,Massachusetts,,,To support a program of ecological research and training,"43,000"
2000,CONSERVATION AND THE ENVIRONMENT,International University Exchange Inc.,Washington,DC,,,To support a program of ecological research and training,"322,000"
2000,CONSERVATION AND THE ENVIRONMENT,Marine Biological Laboratory,Woods Hole,Massachusetts,,,To support a program of ecological research and training,"1,000,000"
2000,CONSERVATION AND THE ENVIRONMENT,Marine Biological Laboratory,Woods Hole,Massachusetts,,,To support a program of ecological research and training,"265,000"
2000,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,St. Louis,Missouri,,,To support a program of ecological research and training,"900,000"
2000,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,St. Louis,Missouri,,,To support a pilot program to digitize rare botanical reference works and make images available using the Internet,"200,000"
2000,CONSERVATION AND THE ENVIRONMENT,National Park Foundation,Washington,DC,,,To support a program of ecological research and training,"1,400,000"
2000,CONSERVATION AND THE ENVIRONMENT,New York Botanical Garden,Bronx,New York,,,To support a program of ecological research and training,"600,000"
2000,CONSERVATION AND THE ENVIRONMENT,New York Botanical Garden,Bronx,New York,,,To support a pilot program to digitize rare botanical reference works and make images available using the Internet,"195,000"
2000,CONSERVATION AND THE ENVIRONMENT,Oregon State University,Corvallis,Oregon,,,To support a program of ecological research and training,"220,000"
2000,CONSERVATION AND THE ENVIRONMENT,"Organization for Tropical Studies, Inc.",Durham,North Carolina,,,For use as endowment,"2,500,000"
2000,CONSERVATION AND THE ENVIRONMENT,"Organization for Tropical Studies, Inc.",Durham,North Carolina,,,To support a program of ecological research and training,"395,000"
2000,CONSERVATION AND THE ENVIRONMENT,Pennsylvania State University,University Park,Pennsylvania,,,To support a program of ecological research and training,"50,000"
2000,CONSERVATION AND THE ENVIRONMENT,Pontificia Universidad Catolica de Chile,Santiago,,,Chile,To support a program of ecological research and training,"280,000"
2000,CONSERVATION AND THE ENVIRONMENT,Resources for the Future,Washington,DC,,,To support studies of the effects of environmental regulations,"250,000"
2000,CONSERVATION AND THE ENVIRONMENT,Rice University,Houston,Texas,,,To support a program of ecological research and training,"164,000"
2000,CONSERVATION AND THE ENVIRONMENT,Scientific Committee on Problems,Paris,,,France,To support a program of ecological research and training,"200,000"
2000,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,Washington,DC,,,To support a program of ecological research and training,"250,000"
2000,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,Washington,DC,,,To support a program of ecological research and training,"120,000"
2000,CONSERVATION AND THE ENVIRONMENT,South African National Parks,Skukuza,,,South Africa,To support a program of ecological research and training,"200,000"
2000,CONSERVATION AND THE ENVIRONMENT,South African National Parks,Skukuza,,,South Africa,To support a program of ecological research and training,"25,000"
